,iter,loss,acc,val_loss,val_acc,profit_home,best_home,margin_home,profit_draw,bets_draw,margin_draw,profit_away,bets_away,margin_away
0,0.0,1.0235803127288818,0.5348837375640869,1.2578279504015402,0.47177913474159006,5.500000000000003,57.0,0.09649122807017549,12.239999999999998,29.0,0.4220689655172413,-14.479999999999999,37.0,-0.3913513513513513
1,100.0,0.9584579467773438,0.5465116500854492,0.9689745102191996,0.5368098199733196,6.84,16.0,0.4275,-1.0,1.0,-1.0,-2.67,12.0,-0.2225
2,200.0,0.9586292505264282,0.5406976938247681,0.9669502980869972,0.5398772929343709,2.510000000000001,14.0,0.17928571428571435,-1.0,1.0,-1.0,-1.67,11.0,-0.15181818181818182
3,300.0,0.9608335494995117,0.5348837375640869,0.965103271914406,0.5404907987892993,1.0100000000000005,10.0,0.10100000000000005,-2.5,6.0,-0.4166666666666667,-3.29,17.0,-0.1935294117647059
4,400.0,0.9609460234642029,0.5348837375640869,0.965134993286952,0.537423317052104,3.160000000000001,15.0,0.21066666666666672,0.5,3.0,0.16666666666666666,-3.29,17.0,-0.1935294117647059
5,500.0,0.9574484825134277,0.5406976938247681,0.9643116834704861,0.538957064137137,8.0,11.0,0.7272727272727273,0.6000000000000001,3.0,0.20000000000000004,2.33,13.0,0.17923076923076925
6,600.0,0.958196759223938,0.5348837375640869,0.9641108776162739,0.5392638070086029,8.120000000000001,12.0,0.6766666666666667,-2.3,9.0,-0.25555555555555554,-2.29,16.0,-0.143125
7,700.0,0.9592806100845337,0.5348837375640869,0.9636759509338192,0.5411042980621198,-1.8499999999999996,13.0,-0.14230769230769227,1.1,6.0,0.18333333333333335,-3.29,17.0,-0.1935294117647059
8,800.0,0.9592043161392212,0.5465116500854492,0.9634151444113328,0.5426380403934081,7.0,12.0,0.5833333333333334,-0.2999999999999998,7.0,-0.04285714285714283,-2.29,16.0,-0.143125
9,900.0,0.96002596616745,0.5406976938247681,0.9634955682637502,0.5386503068216008,10.26,16.0,0.64125,0.7000000000000002,6.0,0.1166666666666667,-2.29,16.0,-0.143125
10,1000.0,0.9578142762184143,0.5348837375640869,0.9634360835596096,0.5411042848979037,7.260000000000001,14.0,0.5185714285714286,-1.2999999999999998,8.0,-0.16249999999999998,2.38,16.0,0.14875
11,1100.0,0.9587831497192383,0.5465116500854492,0.9627788527611575,0.5389570579207017,7.0,12.0,0.5833333333333334,1.1,6.0,0.18333333333333335,-2.62,15.0,-0.17466666666666666
12,1200.0,0.9623143672943115,0.5290697813034058,0.9626023228183115,0.5383435560881726,1.0100000000000005,10.0,0.10100000000000005,1.3800000000000003,12.0,0.11500000000000003,-3.29,17.0,-0.1935294117647059
13,1300.0,0.9592190384864807,0.5348837375640869,0.9625315560153657,0.539570542932288,3.5100000000000002,13.0,0.27,-1.2999999999999998,8.0,-0.16249999999999998,-2.29,16.0,-0.143125
14,1400.0,0.959056556224823,0.5290697813034058,0.9627241115628576,0.5374233150409043,4.510000000000001,12.0,0.3758333333333334,-1.2999999999999998,8.0,-0.16249999999999998,-2.62,15.0,-0.17466666666666666
15,1500.0,0.9583002328872681,0.5348837375640869,0.9624134097362589,0.5398772954940796,7.260000000000001,14.0,0.5185714285714286,-0.2999999999999998,7.0,-0.04285714285714283,-1.6199999999999999,14.0,-0.1157142857142857
16,1600.0,0.9590980410575867,0.5348837375640869,0.9624372018626862,0.5411043035472097,3.7600000000000002,12.0,0.31333333333333335,-1.2999999999999998,8.0,-0.16249999999999998,-2.62,15.0,-0.17466666666666666
17,1700.0,0.9596201777458191,0.5348837375640869,0.9622350181538635,0.5407975431234558,3.5100000000000002,13.0,0.27,1.0900000000000003,9.0,0.12111111111111114,-2.62,15.0,-0.17466666666666666
18,1800.0,0.9588569402694702,0.5406976938247681,0.9622583882940328,0.5389570579207017,6.260000000000001,15.0,0.4173333333333334,0.7000000000000002,6.0,0.1166666666666667,-2.62,15.0,-0.17466666666666666
19,1900.0,0.9596346020698547,0.5348837375640869,0.9622468279183276,0.5411042955024111,0.010000000000000453,11.0,0.0009090909090909503,-1.2999999999999998,8.0,-0.16249999999999998,-2.29,16.0,-0.143125
20,2000.0,0.9580233693122864,0.5465116500854492,0.9622995209840178,0.5398773020761876,7.0,12.0,0.5833333333333334,1.3000000000000003,9.0,0.1444444444444445,-2.29,16.0,-0.143125
21,2100.0,0.9584935903549194,0.5348837375640869,0.962148906994451,0.5404907896474827,8.26,13.0,0.6353846153846153,0.9900000000000002,9.0,0.11000000000000003,-3.62,16.0,-0.22625
22,2200.0,0.9610067009925842,0.5348837375640869,0.9621063342855021,0.5392638115795112,8.26,13.0,0.6353846153846153,-1.2999999999999998,8.0,-0.16249999999999998,-2.29,16.0,-0.143125
23,2300.0,0.9579509496688843,0.5348837375640869,0.9620383184380327,0.5395705495143961,8.26,13.0,0.6353846153846153,-0.009999999999999787,10.0,-0.0009999999999999788,-1.6199999999999999,14.0,-0.1157142857142857
24,2400.0,0.9601656794548035,0.5406976938247681,0.9624041256729079,0.5398773006134969,4.510000000000001,12.0,0.3758333333333334,1.1,6.0,0.18333333333333335,-2.62,15.0,-0.17466666666666666
25,2500.0,0.9581984877586365,0.5290697813034058,0.9624165095434598,0.5395705509770867,7.260000000000001,14.0,0.5185714285714286,1.3800000000000003,12.0,0.11500000000000003,-2.29,16.0,-0.143125
26,2600.0,0.9586920142173767,0.5290697813034058,0.9621535777314308,0.5401840487872165,8.26,13.0,0.6353846153846153,1.3800000000000003,12.0,0.11500000000000003,2.38,16.0,0.14875
