away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
3,6,5,17,128,44,80,27,2,4,17,1,11,122,40,116,46,5,6.0,3.8,1.57,D
2,10,6,22,131,53,106,32,2,1,8,5,14,114,37,119,37,4,4.0,3.2,2.0,D
4,12,3,13,145,48,92,34,3,3,12,2,8,99,31,121,36,5,6.0,3.75,1.57,H
2,13,5,19,118,45,120,37,3,0,37,2,10,117,38,183,84,8,26.0,15.0,1.05,H
2,14,4,12,105,38,141,47,4,4,10,4,12,117,46,99,36,2,2.3,3.2,3.1,D
2,6,6,24,140,57,94,21,2,1,17,2,10,89,26,111,52,7,12.0,5.5,1.25,D
2,19,1,9,84,27,148,62,7,3,10,6,15,122,47,138,33,1,1.8,3.6,4.33,H
2,7,5,12,99,41,93,33,3,2,23,1,9,119,38,99,34,7,5.25,4.0,1.62,D
4,10,4,12,107,45,98,38,2,3,7,4,11,95,39,85,29,3,4.5,3.5,1.8,H
3,13,2,9,94,29,124,41,5,1,20,2,11,87,30,143,62,7,7.5,4.2,1.44,H
1,17,2,10,94,30,116,55,7,1,22,2,5,88,25,179,75,7,11.0,7.0,1.2,H
0,40,2,11,124,42,185,87,8,4,12,4,15,141,52,87,32,2,1.18,6.5,15.0,A
3,12,5,15,114,44,130,34,2,3,11,5,19,141,53,79,30,2,2.15,3.25,3.4,D
6,8,4,16,112,43,85,31,0,3,10,5,19,135,50,114,37,2,4.0,3.2,2.0,D
2,22,1,8,113,36,96,34,7,3,7,5,23,143,57,101,24,2,1.67,3.75,5.0,H
5,14,1,10,118,38,113,43,4,1,14,6,24,125,54,127,41,3,2.55,3.3,2.7,H
2,7,4,11,105,34,123,37,4,3,13,4,13,107,40,138,46,3,6.5,4.5,1.44,H
2,8,6,13,130,46,110,34,2,4,4,5,16,138,48,78,25,1,3.8,3.3,2.0,D
3,11,5,20,140,49,116,40,2,4,8,5,13,106,43,134,34,1,5.0,3.75,1.7,H
