away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,14,1,4,7,2010-02-21,2,19,2,7,6,4.33,3.2,1.83,H
4,12,2,8,4,2010-02-21,4,9,4,11,2,3.3,3.1,2.3,A
3,3,5,9,2,2010-02-21,6,11,3,17,1,3.3,3.1,2.3,A
2,15,4,15,4,2010-02-22,3,4,7,15,0,2.5,3.0,3.0,A
2,12,3,11,5,2010-02-26,1,12,5,14,4,2.9,3.0,2.55,A
3,21,0,4,7,2010-02-27,4,8,5,14,1,1.36,4.5,9.0,A
2,14,5,18,3,2010-02-27,3,4,4,8,3,2.5,3.0,3.0,H
5,10,3,15,2,2010-02-27,2,15,1,8,7,11.0,4.5,1.33,H
3,8,5,11,2,2010-02-28,1,16,4,15,5,3.75,3.1,2.1,A
5,11,4,18,1,2010-02-28,4,11,2,9,4,4.5,3.4,1.83,H
2,24,1,7,7,2010-02-28,3,8,3,6,4,2.1,3.2,3.6,H
3,5,7,14,0,2010-03-02,3,12,5,19,2,6.5,3.6,1.57,H
3,7,6,17,1,2010-03-05,1,12,5,13,4,4.75,3.4,1.75,H
5,11,3,16,2,2010-03-06,2,22,2,9,6,13.0,5.5,1.2,D
2,5,4,8,4,2010-03-06,3,8,4,9,3,3.5,3.1,2.05,D
2,16,1,9,7,2010-03-06,5,14,4,20,1,1.6,3.6,6.0,D
2,11,3,6,5,2010-03-07,2,3,8,13,0,1.6,3.5,5.5,A
3,15,2,11,5,2010-03-07,2,25,0,4,8,11.0,5.0,1.25,H
1,13,5,16,4,2010-03-07,1,13,6,18,3,3.5,3.1,2.05,D
2,12,5,18,3,2010-03-08,2,11,3,11,5,3.8,3.1,1.95,H
1,13,4,12,5,2010-03-12,3,4,4,8,3,3.2,3.0,2.4,H
3,20,2,10,5,2010-03-13,2,13,4,12,4,1.67,3.5,5.5,A
3,8,4,9,3,2010-03-13,2,15,1,8,7,7.5,4.2,1.44,H
6,14,3,18,1,2010-03-14,2,7,7,18,1,3.5,3.1,2.2,A
2,24,0,5,8,2010-03-14,2,10,6,19,2,1.53,3.8,6.5,A
1,3,9,17,0,2010-03-14,6,11,2,13,2,4.2,3.3,1.91,A
2,12,2,7,6,2010-03-14,2,13,3,6,5,6.0,3.75,1.57,H
2,8,6,16,2,2010-03-15,3,16,2,13,5,3.4,3.1,2.25,H
2,16,2,6,6,2010-03-26,2,8,6,16,2,2.05,3.25,3.75,H
1,16,1,8,8,2010-03-27,1,23,0,3,9,6.0,3.6,1.62,H
2,12,5,14,3,2010-03-27,2,12,3,10,5,4.5,3.4,1.83,H
3,20,2,11,5,2010-03-28,1,6,8,17,1,1.36,4.5,9.0,A
3,15,2,12,5,2010-03-28,1,12,5,13,4,3.3,3.1,2.3,H
2,5,4,8,4,2010-03-28,2,8,7,18,1,3.4,3.0,2.3,H
5,10,3,14,2,2010-03-28,3,7,5,10,2,3.6,3.2,2.1,A
2,9,6,18,2,2010-03-28,6,16,2,17,2,2.75,3.0,2.75,H
1,7,7,16,2,2010-04-02,2,6,7,17,1,5.0,3.5,1.73,H
2,12,3,10,5,2010-04-02,1,15,2,9,7,5.5,3.6,1.65,H
3,8,5,14,2,2010-04-02,2,17,3,9,5,8.5,4.2,1.4,H
1,13,5,14,4,2010-04-03,2,9,5,11,3,3.2,3.0,2.25,D
6,15,2,16,2,2010-04-03,4,13,3,13,3,3.6,3.2,2.0,D
1,6,8,19,1,2010-04-03,3,16,2,13,5,5.5,3.4,1.62,D
2,9,5,15,3,2010-04-03,3,23,1,10,6,11.0,4.5,1.29,H
1,23,0,3,9,2010-04-05,2,5,4,8,4,1.4,4.2,7.0,A
2,7,6,15,2,2010-04-09,2,7,4,10,4,3.25,3.0,2.38,D
1,16,2,11,7,2010-04-10,2,11,4,11,4,2.1,3.2,3.6,A
3,24,1,9,6,2010-04-10,3,8,5,18,2,1.4,4.5,8.0,A
4,14,3,14,3,2010-04-11,2,13,4,13,4,4.75,3.4,1.8,D
3,15,2,12,5,2010-04-11,1,7,7,16,2,2.9,3.1,2.5,H
1,6,8,19,1,2010-04-11,2,10,5,18,3,5.5,3.5,1.67,D
3,7,5,11,2,2010-04-12,6,17,2,18,2,3.0,3.2,2.4,D
2,21,3,9,5,2010-04-13,1,26,0,5,9,5.75,3.75,1.62,H
3,13,4,16,3,2010-04-16,5,14,3,15,2,3.4,3.2,2.2,A
3,7,3,9,4,2010-04-17,2,14,3,13,5,3.75,3.25,1.91,A
1,6,7,15,2,2010-04-17,1,16,2,12,7,11.0,5.25,1.25,H
1,23,0,5,9,2010-04-18,4,8,4,10,2,1.3,4.5,9.0,A
3,8,5,17,2,2010-04-18,2,8,7,19,1,2.7,3.1,2.5,D
2,10,5,13,3,2010-04-18,3,5,5,12,2,3.3,3.2,2.1,H
2,12,4,12,4,2010-04-18,2,24,1,8,7,8.5,4.5,1.33,H
6,16,2,17,2,2010-04-19,2,18,4,9,4,10.0,5.0,1.25,H
3,13,4,16,3,2010-04-23,3,6,5,15,2,3.0,3.0,2.5,D
5,15,3,15,2,2010-04-24,1,23,0,6,9,17.0,6.5,1.17,H
2,23,1,8,7,2010-04-24,5,15,3,17,2,1.36,4.75,8.5,A
2,20,3,9,5,2010-04-25,2,8,6,15,2,1.91,3.4,4.0,D
4,9,4,11,2,2010-04-25,1,6,7,16,2,3.3,3.1,2.3,A
2,13,4,15,4,2010-04-25,3,7,4,8,3,3.75,3.4,2.0,D
1,18,2,13,7,2010-04-25,3,9,3,10,4,1.73,3.5,5.0,A
3,8,6,18,1,2010-04-26,2,11,4,12,4,9.0,4.5,1.36,H
4,8,3,8,3,2010-05-02,4,10,4,11,2,3.0,3.1,2.4,D
3,9,5,13,2,2010-05-02,3,7,6,17,1,2.4,3.1,3.0,H
4,16,4,21,2,2010-05-02,4,12,4,16,2,4.2,3.3,1.91,H
1,7,7,17,2,2010-05-02,5,14,4,20,1,4.1,3.2,1.95,H
1,25,0,6,9,2010-05-02,2,25,1,10,7,2.9,3.1,2.45,H
2,12,3,10,5,2010-05-02,4,4,5,15,1,2.2,3.1,3.5,D
3,12,4,15,3,2010-05-02,1,19,2,12,7,12.0,5.25,1.25,H
3,9,3,11,4,2010-05-02,3,20,2,8,5,12.0,5.25,1.25,A
1,28,1,11,8,2010-05-08,3,11,5,17,2,1.5,4.2,6.5,A
2,20,3,9,5,2010-05-08,0,7,8,18,2,1.67,3.5,5.5,A
3,12,5,18,2,2010-05-08,3,13,5,20,2,3.3,3.25,2.2,A
4,3,5,14,1,2010-05-09,0,25,1,8,9,19.0,8.0,1.13,H
4,13,3,14,3,2010-05-09,2,12,3,10,5,3.75,3.25,2.05,A
1,18,2,11,7,2010-05-09,4,10,3,10,3,1.91,3.4,4.0,D
4,12,4,13,2,2010-05-09,2,10,3,11,5,3.0,3.0,2.5,A
4,14,4,19,2,2010-05-09,2,12,5,16,3,3.6,3.2,2.1,D
3,14,5,21,2,2010-08-14,3,14,3,14,4,5.25,3.5,1.7,A
1,27,1,11,8,2010-08-14,2,9,4,12,4,1.36,4.5,9.0,A
1,22,3,10,6,2010-08-14,3,12,5,17,2,1.8,3.4,4.75,H
4,11,4,12,2,2010-08-15,0,26,1,9,9,17.0,6.5,1.18,A
4,10,3,10,3,2010-08-15,4,3,5,14,1,2.88,3.0,2.63,A
2,11,4,12,4,2010-08-16,4,16,4,21,2,2.5,3.0,3.0,D
5,15,3,18,2,2010-08-20,4,13,3,12,3,4.0,3.3,1.95,D
0,23,2,11,8,2010-08-21,4,10,3,10,3,1.62,3.5,6.0,H
2,18,1,7,7,2010-08-21,3,12,4,16,3,1.7,3.4,5.25,D
3,8,5,14,2,2010-08-22,3,9,5,17,2,3.4,3.1,2.2,D
3,13,3,13,4,2010-08-22,1,19,4,11,5,6.5,3.7,1.55,H
4,2,6,15,0,2010-08-23,3,10,4,12,3,5.75,3.4,1.67,D
3,12,4,16,3,2010-08-28,0,21,3,12,7,15.0,5.5,1.22,H
4,8,4,12,2,2010-08-28,4,12,2,9,4,3.5,3.1,2.2,A
