away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
1,5,6,11,143,41,113,28,3,2009-12-13,4,9,5,15,105,30,129,40,1,4.33,3.2,1.91,A
2,11,4,9,124,46,163,55,4,2009-12-13,2,12,4,12,125,44,144,51,4,2.5,3.0,3.0,H
2,17,4,18,141,49,85,41,4,2009-12-13,6,4,4,9,130,49,177,52,0,3.4,3.1,2.25,H
3,13,3,13,174,55,153,46,4,2009-12-13,3,20,0,9,149,53,128,51,7,7.5,4.2,1.44,A
2,13,5,18,189,63,103,31,3,2009-12-13,3,13,3,13,120,34,121,45,4,4.75,3.4,1.8,H
2,14,3,11,112,38,173,57,5,2009-12-13,3,10,4,17,122,46,106,41,3,2.88,3.2,2.5,D
1,10,6,12,139,50,138,48,3,2009-12-13,2,9,7,17,115,47,134,39,1,2.88,3.0,2.63,H
5,4,4,8,130,49,159,42,1,2009-12-20,2,23,1,10,122,43,147,58,7,8.5,4.33,1.4,H
3,8,6,15,106,30,133,38,1,2009-12-20,1,18,4,15,109,41,154,54,5,10.0,4.75,1.33,A
4,9,4,17,124,45,106,40,2,2009-12-20,1,6,5,10,146,40,115,26,4,2.63,3.0,2.88,H
1,13,4,12,127,41,137,50,5,2009-12-20,5,16,1,13,107,37,146,53,4,4.33,3.25,1.91,H
2,10,6,16,122,48,149,46,2,2009-12-20,2,14,3,12,170,49,161,49,5,6.0,3.6,1.62,H
3,15,2,12,119,32,134,51,5,2009-12-20,2,13,3,10,107,34,175,56,5,4.75,3.6,1.73,H
5,17,0,11,108,40,145,54,5,2010-01-06,2,13,5,17,162,52,105,32,3,2.88,3.0,2.63,A
1,9,7,14,149,59,145,47,2,2010-01-06,2,13,3,11,150,49,107,39,5,3.5,3.1,2.2,H
2,13,3,9,108,34,183,59,5,2010-01-06,1,20,4,15,120,45,115,45,5,2.4,3.2,3.0,D
1,13,6,19,188,65,96,31,3,2010-01-06,2,10,6,16,118,36,130,38,2,4.0,3.2,2.0,H
2,22,1,9,121,40,140,55,7,2010-01-06,1,11,5,13,130,42,143,51,4,1.83,3.4,4.5,A
0,9,5,11,138,38,120,31,5,2010-01-06,4,4,5,9,121,43,157,38,1,5.5,3.5,1.67,H
2,17,4,17,139,44,84,42,4,2010-01-06,2,20,1,11,148,52,140,52,7,6.0,3.75,1.57,H
1,19,4,15,93,35,157,62,5,2010-01-06,2,14,3,13,126,35,134,49,5,2.4,3.1,3.1,A
2,13,3,12,169,52,154,49,5,2010-01-06,3,9,5,19,124,47,104,41,2,3.4,3.2,2.2,D
2,11,5,11,126,48,163,52,3,2010-01-06,1,10,7,17,134,55,142,43,2,2.2,3.2,3.4,A
1,11,7,21,128,56,155,47,2,2010-01-09,2,18,1,9,128,41,142,53,7,15.0,6.0,1.2,H
1,10,5,12,132,41,128,45,4,2010-01-09,3,14,2,9,113,36,172,52,5,6.5,3.6,1.57,H
2,21,3,15,119,42,127,50,5,2010-01-10,1,12,6,17,203,68,80,28,3,3.1,3.2,2.35,A
1,15,3,11,155,53,109,42,6,2010-01-10,1,16,5,12,132,48,153,52,4,6.0,3.5,1.65,H
2,9,6,15,116,37,144,44,2,2010-01-10,2,16,5,21,136,49,85,41,3,6.0,3.5,1.65,H
1,24,1,12,151,55,143,57,8,2010-01-10,0,20,4,15,88,32,149,57,6,2.9,3.2,2.5,A
2,14,4,15,128,36,127,43,4,2010-01-10,0,9,5,13,150,45,111,33,5,2.63,3.1,2.75,H
3,9,5,19,116,43,110,40,2,2010-01-10,5,17,0,10,112,40,133,53,5,4.2,3.3,1.91,H
1,12,6,18,159,53,110,34,3,2010-01-10,3,12,3,12,173,56,158,50,4,5.5,3.5,1.7,H
3,7,5,9,114,40,157,40,2,2010-01-10,1,8,7,14,136,57,148,49,2,3.3,3.25,2.2,D
2,20,1,11,130,40,144,54,7,2010-01-16,1,14,4,12,151,50,108,42,5,1.91,3.25,4.33,D
0,10,5,14,138,44,113,34,5,2010-01-16,2,21,2,13,124,46,133,52,6,5.5,3.0,1.83,H
4,8,4,8,119,42,158,40,2,2010-01-17,1,9,7,18,149,50,112,32,2,2.9,3.1,2.5,H
0,19,5,18,89,34,151,60,5,2010-01-17,1,9,5,11,128,34,129,44,4,2.1,3.25,3.5,H
1,11,6,16,192,64,87,31,3,2010-01-17,0,17,5,12,127,46,158,52,5,7.5,3.75,1.5,A
1,14,7,24,128,61,164,50,2,2010-01-17,1,25,1,11,145,50,138,56,8,13.0,5.25,1.25,H
3,12,3,12,166,52,153,45,4,2010-01-17,5,17,0,10,102,37,134,49,5,3.5,3.25,2.1,D
2,8,6,12,132,55,151,51,2,2010-01-17,2,14,4,14,124,34,125,40,4,3.6,3.2,2.1,D
2,18,4,16,129,43,96,44,4,2010-01-17,3,15,1,8,114,36,161,50,6,5.0,3.6,1.7,H
2,8,6,15,122,37,137,38,2,2010-01-17,3,5,6,19,119,45,105,34,1,4.6,3.4,1.8,D
1,9,7,17,146,45,115,32,2,2010-01-20,1,12,5,13,205,66,85,33,4,3.2,3.1,2.3,D
2,14,4,14,159,51,106,43,4,2010-01-20,2,16,4,16,126,43,100,42,4,3.8,3.1,2.1,D
3,12,4,14,130,36,133,41,3,2010-01-23,3,8,5,14,133,39,128,39,2,3.4,3.2,2.2,H
3,17,0,6,112,34,162,51,7,2010-01-23,0,14,6,18,88,34,137,54,4,2.9,3.1,2.5,A
3,15,3,13,170,56,111,45,4,2010-01-24,2,12,5,14,201,62,83,32,3,3.0,3.2,2.4,H
2,11,6,18,142,44,120,34,2,2010-01-24,3,15,4,16,124,40,108,44,3,4.5,3.4,1.83,H
1,27,1,10,145,49,134,53,8,2010-01-24,3,17,1,10,128,39,139,47,6,2.9,3.1,2.5,H
1,8,5,10,117,35,126,42,4,2010-01-24,4,8,4,10,123,41,151,35,2,4.2,3.2,1.95,D
5,15,0,8,110,38,124,42,5,2010-01-24,0,9,6,17,136,47,115,34,4,2.4,3.1,3.1,A
0,18,5,13,123,42,166,57,5,2010-01-24,4,9,2,7,161,44,147,41,4,3.0,3.2,2.4,H
2,21,2,11,131,46,125,51,6,2010-01-24,1,13,7,26,138,65,154,44,2,2.6,3.0,2.9,D
4,5,5,15,107,39,118,38,1,2010-01-24,3,8,5,11,132,51,140,46,2,3.6,3.2,2.1,A
3,12,2,7,167,45,140,43,5,2010-01-30,2,16,4,15,169,57,115,46,4,3.1,2.9,2.5,H
2,17,4,16,113,37,106,43,4,2010-01-30,5,14,0,6,117,39,122,41,5,4.2,3.25,1.95,D
0,17,5,14,128,45,172,58,5,2010-01-31,3,21,2,12,123,43,127,51,5,3.2,3.0,2.38,D
3,8,6,13,135,54,139,46,1,2010-01-31,3,10,4,11,128,36,133,40,3,3.6,3.0,2.2,D
2,13,4,13,181,56,90,34,4,2010-01-31,1,8,5,10,121,35,114,36,4,4.2,3.1,2.0,D
4,8,4,10,121,41,157,37,2,2010-01-31,0,13,6,17,86,32,136,53,4,5.5,3.4,1.7,D
0,9,6,17,142,49,117,36,4,2010-01-31,0,25,2,10,136,45,149,55,8,12.0,5.0,1.29,D
1,13,7,26,147,69,158,45,2,2010-01-31,3,17,0,6,120,34,145,45,7,13.0,4.75,1.29,H
2,11,6,17,140,43,121,36,2,2010-01-31,3,8,5,17,112,40,121,42,2,4.33,3.25,1.91,H
1,9,6,16,87,31,138,54,3,2010-02-06,1,10,5,17,147,52,114,37,4,2.0,3.2,4.0,D
3,12,4,15,134,38,124,37,3,2010-02-06,3,13,2,8,166,46,146,46,5,5.0,3.25,1.8,H
2,19,4,17,173,59,116,48,4,2010-02-07,2,9,6,14,138,44,126,36,2,3.4,3.0,2.3,H
1,24,2,11,130,44,152,59,7,2010-02-07,3,11,4,13,182,55,85,32,3,1.8,3.25,5.0,D
2,18,0,6,115,33,149,49,8,2010-02-07,1,16,5,15,125,44,172,60,4,2.88,3.2,2.5,A
2,9,4,9,115,33,113,36,4,2010-02-07,3,13,4,14,111,35,103,37,3,4.33,3.25,1.9,H
4,20,2,14,126,49,125,49,4,2010-02-07,3,17,1,10,129,40,149,51,6,7.5,4.33,1.36,H
3,11,4,12,132,40,136,41,3,2010-02-07,5,8,3,9,128,43,140,33,2,4.33,3.25,1.9,A
3,10,4,15,110,38,129,46,3,2010-02-07,1,12,7,24,154,70,146,42,2,2.75,3.1,2.63,A
5,14,0,6,114,37,133,44,5,2010-02-07,3,8,6,13,126,49,140,47,1,3.1,3.1,2.4,H
2,19,1,9,134,40,148,54,7,2010-02-10,3,11,5,17,134,41,116,34,2,1.83,3.4,4.5,D
3,11,5,13,129,50,156,56,2,2010-02-12,2,22,2,10,106,39,159,58,6,6.5,3.6,1.57,H
2,14,2,8,149,43,144,48,6,2010-02-13,2,16,0,5,119,36,142,43,8,5.5,3.5,1.67,H
1,15,6,16,128,44,178,63,3,2010-02-13,3,10,4,15,119,41,119,41,3,3.1,3.1,2.4,H
2,18,4,15,184,58,108,46,4,2010-02-14,4,18,3,17,131,53,127,48,3,3.75,3.4,2.0,H
2,8,6,14,123,42,141,38,2,2010-02-14,2,11,4,11,142,42,121,39,4,3.6,3.2,2.1,D
1,13,7,24,147,68,140,42,2,2010-02-14,2,8,4,8,111,27,117,36,4,4.75,3.3,1.8,A
3,13,3,12,112,34,105,35,4,2010-02-14,2,9,6,17,95,33,132,50,2,5.0,3.5,1.73,H
4,10,3,10,183,51,77,31,3,2010-02-14,2,9,5,17,144,51,116,38,3,3.2,3.0,2.4,A
3,17,1,9,138,42,149,54,6,2010-02-14,4,15,1,9,125,45,139,47,5,2.3,3.2,3.2,D
4,8,4,10,125,43,154,35,2,2010-02-14,4,9,5,16,135,44,122,35,1,3.25,3.0,2.38,A
3,13,5,15,127,49,166,59,2,2010-02-20,3,12,4,15,122,41,107,32,3,4.0,3.4,1.91,H
3,12,3,12,124,38,124,44,4,2010-02-20,4,16,1,9,139,39,135,50,5,7.5,3.8,1.5,D
2,7,5,9,109,32,119,35,3,2010-02-21,3,7,5,12,118,38,142,37,2,3.5,3.3,2.1,A
2,21,2,9,104,34,158,59,6,2010-02-21,2,17,5,17,183,58,114,43,3,2.1,3.3,3.5,A
2,12,5,17,93,31,141,55,3,2010-02-21,3,11,3,10,175,53,77,31,4,1.91,3.3,4.2,A
3,8,6,17,139,49,120,33,1,2010-02-21,4,18,2,14,138,50,118,41,4,4.33,3.4,1.85,H
2,9,5,16,131,45,123,43,3,2010-02-21,1,13,6,15,134,46,172,60,3,6.0,3.6,1.62,H
3,10,4,10,128,45,146,40,3,2010-02-21,2,15,2,11,159,44,152,53,6,4.0,3.4,1.91,H
3,11,3,9,142,44,124,38,4,2010-02-21,2,18,0,5,127,37,148,43,8,8.5,4.33,1.4,H
4,14,1,8,124,42,142,45,5,2010-02-21,1,13,6,22,146,66,141,46,3,2.3,3.25,3.1,D
2,21,2,9,105,34,153,60,6,2010-02-24,1,15,5,15,118,45,176,63,4,2.5,3.1,2.9,A
4,18,2,14,142,50,120,42,4,2010-02-24,3,11,6,18,130,53,162,53,1,3.5,3.3,2.1,H
2,15,5,16,172,56,111,39,3,2010-02-27,3,9,3,7,140,45,113,30,4,3.4,3.2,2.2,H
1,14,6,17,114,45,171,64,3,2010-02-27,3,11,4,12,124,43,154,41,3,3.25,3.0,2.38,D
4,18,2,14,153,51,114,44,4,2010-02-28,2,6,5,9,120,32,110,34,3,3.0,3.2,2.4,H
3,10,4,11,164,53,81,30,3,2010-02-28,2,13,4,13,127,39,109,32,4,5.5,3.5,1.67,A
2,16,2,11,168,46,142,50,6,2010-02-28,2,12,5,17,100,30,142,54,3,5.25,3.4,1.73,A
2,10,6,20,150,60,139,45,2,2010-02-28,2,10,5,16,134,48,124,46,3,3.4,3.2,2.2,A
3,7,5,11,105,36,149,37,2,2010-02-28,2,20,2,10,115,40,143,54,6,10.0,4.75,1.33,H
2,18,0,5,117,35,148,41,8,2010-02-28,5,11,1,6,126,38,143,42,4,3.1,3.1,2.4,D
4,12,2,9,119,31,136,47,4,2010-02-28,2,6,7,17,140,49,125,34,1,3.75,3.1,2.1,H
5,15,0,7,146,35,138,47,5,2010-02-28,3,12,5,17,127,53,169,54,2,2.1,3.2,3.6,A
2,11,5,16,98,29,130,47,3,2010-03-06,2,14,5,16,107,42,176,68,3,2.88,3.2,2.5,A
2,23,1,9,111,39,133,55,7,2010-03-06,2,20,0,7,130,40,147,44,8,3.2,3.2,2.3,D
3,13,5,18,118,49,168,55,2,2010-03-07,2,7,6,13,103,38,153,38,2,3.2,3.2,2.3,D
2,6,5,9,114,32,107,33,3,2010-03-07,2,12,6,19,159,52,118,38,2,3.9,3.25,2.0,H
5,10,1,5,132,39,147,40,4,2010-03-07,3,13,3,12,164,52,80,32,4,2.5,3.1,2.9,H
3,13,2,6,143,46,111,31,5,2010-03-07,3,16,3,13,148,49,113,41,4,3.9,3.25,2.0,D
2,16,4,16,125,43,121,37,4,2010-03-07,4,17,0,8,156,40,132,47,6,8.0,4.5,1.4,D
2,10,6,18,133,52,123,48,2,2010-03-07,2,16,2,11,159,41,134,50,6,7.0,3.9,1.5,H
4,11,4,13,134,47,151,43,2,2010-03-07,3,12,3,10,121,34,143,53,4,3.5,3.2,2.15,H
2,5,7,16,145,52,122,32,1,2010-03-07,2,10,6,20,144,59,135,43,2,3.4,3.2,2.2,D
5,16,0,8,152,41,132,46,5,2010-03-12,4,13,2,7,141,43,115,32,4,1.91,3.25,4.33,H
2,10,6,17,94,43,175,62,2,2010-03-13,5,9,2,7,130,38,150,41,3,4.0,3.2,2.0,A
3,13,2,8,122,32,144,52,5,2010-03-14,3,15,2,12,151,48,91,35,5,3.0,3.0,2.5,D
3,16,3,13,151,50,113,39,4,2010-03-14,3,14,3,11,124,36,119,35,4,4.5,3.5,1.8,H
3,11,5,20,138,55,134,42,2,2010-03-14,2,12,4,15,103,31,118,45,4,9.0,4.5,1.36,D
2,11,6,19,153,48,123,39,2,2010-03-14,4,12,4,14,134,46,150,46,2,4.75,3.3,1.83,A
3,18,0,7,135,41,138,41,7,2010-03-14,2,7,7,18,138,53,121,43,1,1.8,3.4,4.75,D
2,6,5,8,120,35,101,29,3,2010-03-14,3,18,1,7,115,38,132,48,6,8.5,4.33,1.4,H
3,7,5,11,103,35,157,36,2,2010-03-14,3,6,6,15,136,48,123,34,1,4.0,3.2,2.0,H
2,16,2,11,152,39,136,47,6,2010-03-14,4,13,4,16,125,45,162,52,2,3.2,3.2,2.3,H
3,17,3,14,131,42,121,40,4,2010-03-20,2,11,6,17,99,45,167,59,2,4.33,3.4,1.85,H
5,16,1,11,156,42,135,46,4,2010-03-20,1,17,3,13,154,42,137,48,6,2.1,3.1,3.6,D
