away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,10,6,20,2,2010-01-23,4,11,4,13,2,3.7,3.4,2.0,H
2,15,3,14,5,2010-01-23,1,8,7,21,2,3.3,3.3,2.15,D
3,23,0,8,7,2010-01-23,4,18,3,11,3,2.3,3.3,3.1,A
6,21,0,10,4,2010-01-24,2,12,5,12,3,2.4,3.3,2.9,A
4,7,3,8,3,2010-01-24,5,17,3,20,2,6.5,4.0,1.5,A
5,17,4,22,1,2010-01-29,4,16,3,12,3,4.33,3.5,1.83,D
4,12,3,12,3,2010-01-30,3,24,0,9,7,15.0,6.5,1.2,H
4,9,3,10,3,2010-01-30,3,14,3,14,4,3.75,3.4,2.0,A
2,6,7,22,1,2010-01-30,2,9,6,19,2,3.5,3.3,2.1,A
3,13,4,19,3,2010-01-30,4,9,5,16,1,4.0,3.4,1.91,D
4,18,4,14,2,2010-01-30,3,15,3,13,4,1.91,3.6,3.75,H
2,12,5,13,3,2010-01-30,4,16,1,9,5,5.5,3.6,1.67,H
2,5,6,17,2,2010-01-31,5,24,0,10,5,11.0,5.75,1.25,H
3,18,0,6,7,2010-01-31,5,10,2,10,3,3.2,3.3,2.1,H
4,9,5,16,1,2010-02-05,4,17,5,17,1,7.0,4.33,1.44,H
4,26,0,10,6,2010-02-06,4,12,3,15,3,1.62,3.75,5.5,D
4,14,3,10,3,2010-02-06,3,11,3,11,4,2.1,3.3,3.5,D
3,15,1,6,6,2010-02-06,2,6,6,17,2,1.75,3.5,4.75,D
2,9,7,22,1,2010-02-06,2,9,6,15,2,6.0,3.8,1.57,H
5,14,1,10,4,2010-02-06,2,9,6,20,2,2.1,3.4,3.5,A
3,25,0,8,7,2010-02-06,5,18,4,23,1,1.73,3.75,4.5,A
3,14,3,14,4,2010-02-07,2,18,1,9,7,6.0,3.6,1.62,A
2,19,3,16,5,2010-02-07,4,9,4,15,2,3.3,3.4,2.15,H
1,8,7,20,2,2010-02-12,2,16,4,15,4,3.75,3.4,2.0,H
2,18,2,12,6,2010-02-13,2,28,0,9,8,9.0,4.75,1.33,H
2,10,6,16,2,2010-02-13,5,12,2,14,3,2.4,3.3,2.9,H
3,17,5,16,2,2010-02-13,2,9,8,24,0,1.8,3.6,4.33,A
3,7,4,12,3,2010-02-13,4,10,5,16,1,3.75,3.4,2.0,D
4,16,5,23,1,2010-02-13,4,25,0,9,6,5.5,3.8,1.62,H
5,15,2,10,3,2010-02-13,4,16,1,11,5,3.1,3.3,2.3,A
3,6,5,16,2,2010-02-14,3,15,3,15,4,4.5,3.5,1.8,H
4,14,2,13,4,2010-02-14,3,13,1,4,6,7.0,4.0,1.5,H
1,18,4,16,5,2010-02-19,2,10,6,16,2,4.2,3.5,1.85,D
1,8,9,27,0,2010-02-20,1,18,3,14,6,8.0,4.0,1.44,H
3,17,2,14,5,2010-02-20,4,13,3,15,3,2.25,3.25,3.2,A
3,17,2,12,5,2010-02-20,4,16,2,9,4,7.5,3.8,1.5,D
5,13,1,13,4,2010-02-20,4,7,4,13,2,3.75,3.4,2.0,D
1,30,0,9,9,2010-02-20,1,9,7,21,2,1.36,4.75,8.5,D
5,11,4,16,1,2010-02-21,3,5,6,17,1,2.75,3.3,2.5,A
4,23,0,10,6,2010-02-21,2,21,5,16,3,3.2,3.25,2.25,D
2,14,1,3,7,2010-02-21,4,15,6,24,0,2.63,3.3,2.63,H
0,22,3,15,7,2010-02-26,2,13,2,5,6,3.8,3.3,2.0,H
2,7,7,20,1,2010-02-27,6,12,1,13,3,3.3,3.3,2.2,D
3,8,6,18,1,2010-02-27,4,13,4,15,2,2.8,3.25,2.5,A
4,14,3,16,3,2010-02-27,4,24,0,11,6,8.5,4.75,1.36,D
3,17,5,18,2,2010-02-27,4,7,4,13,2,1.83,3.5,4.33,A
3,5,6,14,1,2010-02-27,2,18,4,17,4,4.75,3.4,1.8,D
4,16,1,10,5,2010-02-27,2,21,2,14,6,5.5,3.75,1.62,H
5,16,1,8,4,2010-02-28,1,30,0,9,9,7.5,4.2,1.44,H
4,15,5,22,1,2010-02-28,1,9,9,29,0,1.91,3.6,3.8,A
3,18,4,18,3,2010-03-06,0,21,4,16,6,5.25,3.6,1.67,H
2,15,1,5,7,2010-03-06,4,14,2,11,4,2.2,3.25,3.3,A
1,28,0,9,9,2010-03-06,4,14,3,16,3,1.44,4.0,8.0,D
1,9,9,27,0,2010-03-06,4,5,6,15,0,3.2,3.25,2.25,A
4,12,4,14,2,2010-03-06,4,15,2,8,4,7.5,4.2,1.44,H
2,23,1,11,7,2010-03-06,2,17,5,17,3,3.5,3.5,2.0,D
6,12,1,13,3,2010-03-06,3,14,5,20,2,7.0,4.0,1.45,H
3,7,5,14,2,2010-03-07,3,9,5,16,2,4.75,3.6,1.73,A
5,20,0,11,5,2010-03-07,3,7,6,19,1,1.67,3.6,5.25,H
2,24,1,12,7,2010-03-12,2,17,1,6,7,3.4,3.4,2.1,H
3,4,7,15,0,2010-03-13,2,27,0,9,8,17.0,7.0,1.17,H
0,20,4,16,6,2010-03-13,5,12,2,16,3,2.1,3.3,3.5,A
4,13,3,15,3,2010-03-13,0,11,9,28,1,2.9,3.3,2.4,H
3,10,5,17,2,2010-03-13,4,12,4,13,2,3.5,3.3,2.1,A
4,15,3,17,3,2010-03-13,3,8,4,12,3,3.5,3.3,2.1,H
2,16,5,19,3,2010-03-13,3,17,4,19,3,2.4,3.4,2.8,A
2,19,5,19,3,2010-03-14,2,9,6,17,2,2.5,3.3,2.75,A
3,16,2,8,5,2010-03-14,4,22,1,14,5,3.75,3.4,2.0,H
3,12,5,20,2,2010-03-19,3,15,4,18,3,3.25,3.3,2.2,D
