away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
3,3,6,15,1,2009-12-22,3,10,3,10,4,4.0,3.2,2.0,H
2,10,4,13,4,2009-12-23,2,7,6,15,2,3.0,3.0,2.5,D
3,13,2,8,5,2009-12-23,3,16,4,12,3,4.0,3.2,2.0,H
1,12,4,13,5,2009-12-23,4,15,4,19,2,7.0,3.75,1.53,A
3,11,2,8,5,2009-12-23,3,18,2,11,5,8.5,4.0,1.44,A
1,25,2,8,7,2009-12-23,0,13,5,14,5,2.1,3.1,3.75,A
1,9,8,25,1,2009-12-23,1,10,5,14,4,6.0,3.6,1.62,D
4,6,5,12,1,2009-12-23,1,14,5,9,4,8.0,4.0,1.44,H
2,12,3,10,5,2009-12-23,1,9,4,10,5,2.7,3.0,2.75,H
0,14,3,5,7,2009-12-23,2,11,3,7,5,2.2,3.1,3.5,A
1,10,3,8,6,2010-01-13,2,9,7,24,1,2.38,3.0,3.0,D
1,11,4,12,5,2010-01-13,3,9,4,13,3,3.1,3.0,2.3,H
2,8,7,23,1,2010-01-16,3,12,2,8,5,8.0,4.0,1.44,D
3,2,6,14,1,2010-01-16,4,6,5,14,1,3.0,3.0,2.5,A
3,15,4,13,3,2010-01-16,2,7,6,15,2,3.2,3.0,2.38,A
1,18,4,8,5,2010-01-16,0,29,2,8,8,4.2,3.25,1.91,H
2,9,3,8,5,2010-01-16,3,11,4,13,3,4.0,3.2,2.0,H
2,11,4,12,4,2010-01-16,1,9,5,15,4,5.0,3.4,1.75,H
4,16,4,19,2,2010-01-16,0,13,5,15,5,1.91,3.25,4.33,A
3,11,2,8,5,2010-01-16,1,12,4,12,5,5.0,3.4,1.75,D
2,11,4,9,4,2010-01-16,3,13,3,11,4,3.6,3.1,2.15,A
3,17,2,11,5,2010-01-17,0,16,2,5,8,4.0,3.2,2.0,D
2,10,4,13,4,2010-01-19,3,4,5,13,2,2.6,3.0,2.88,D
3,12,4,14,3,2010-01-20,3,7,6,20,1,2.45,3.1,3.0,A
1,14,2,6,7,2010-01-20,4,6,5,14,1,1.44,4.0,8.0,A
1,10,4,12,5,2010-01-20,4,12,1,7,5,3.2,3.1,2.3,A
4,17,3,15,3,2010-01-20,3,18,3,12,4,2.1,3.2,3.6,A
2,7,6,15,2,2010-01-20,4,15,2,12,4,9.5,4.75,1.33,H
4,9,2,6,4,2010-01-20,2,7,5,12,3,2.88,3.0,2.6,A
3,10,4,12,3,2010-01-20,1,15,5,10,4,4.75,3.3,1.8,A
0,30,1,6,9,2010-01-20,2,7,4,10,4,1.91,3.25,4.2,H
0,11,6,16,4,2010-01-20,2,12,4,10,4,4.2,3.2,1.95,D
3,6,6,20,1,2010-01-30,1,16,2,7,7,17.0,6.5,1.17,D
2,11,4,9,4,2010-01-30,2,8,6,16,2,2.9,2.88,2.7,A
3,11,2,7,5,2010-01-30,0,29,2,8,8,8.0,4.0,1.44,H
2,6,6,13,2,2010-01-30,3,11,3,11,4,6.5,3.6,1.57,H
3,16,2,12,5,2010-01-30,1,10,3,10,6,2.25,3.0,3.5,H
2,18,4,14,4,2010-01-30,1,9,6,15,3,3.1,2.9,2.5,H
4,7,5,15,1,2010-01-30,3,10,3,10,4,9.0,4.2,1.4,H
4,4,4,12,2,2010-01-31,4,8,2,5,4,4.75,3.3,1.83,H
1,15,5,10,4,2010-01-31,4,19,3,16,3,5.25,3.4,1.73,H
2,8,4,11,4,2010-01-31,3,11,4,14,3,4.2,3.1,2.0,D
0,11,3,9,7,2010-02-06,4,6,5,15,1,2.15,3.0,3.75,A
4,8,2,5,4,2010-02-06,3,7,6,19,1,2.25,3.0,3.5,H
2,9,6,18,2,2010-02-06,3,9,3,7,4,4.75,3.25,1.83,H
0,28,2,8,8,2010-02-06,2,7,7,16,1,1.83,3.25,4.75,D
2,13,5,15,3,2010-02-06,1,16,5,11,4,4.75,3.25,1.83,A
2,16,1,5,7,2010-02-06,3,12,2,7,5,2.4,2.9,3.25,H
1,10,5,14,4,2010-02-06,3,8,3,8,4,3.6,3.0,2.2,D
3,11,4,14,3,2010-02-07,2,11,3,9,5,8.0,4.33,1.4,H
2,14,3,13,5,2010-02-07,4,3,5,13,1,3.0,3.0,2.5,H
3,16,3,12,4,2010-02-07,2,11,4,8,4,2.25,3.0,3.5,D
4,8,2,7,4,2010-02-13,2,9,6,18,2,3.25,3.0,2.38,D
4,6,5,16,1,2010-02-13,1,29,1,7,8,13.0,4.75,1.29,H
3,9,3,7,4,2010-02-13,3,15,3,11,4,8.0,4.0,1.44,H
2,15,3,10,5,2010-02-13,2,14,3,14,5,2.5,3.0,3.0,A
2,11,6,18,2,2010-02-13,0,11,3,9,7,7.0,3.75,1.53,H
1,15,6,14,3,2010-02-13,2,10,4,13,4,2.9,2.9,2.7,D
3,7,7,17,0,2010-02-13,3,11,5,19,2,4.0,3.2,2.0,H
3,14,2,8,5,2010-02-14,4,6,3,10,3,3.1,2.9,2.5,H
4,6,4,11,2,2010-02-14,2,18,1,8,7,9.0,4.2,1.4,H
3,11,3,7,4,2010-02-14,2,14,5,15,3,3.4,3.0,2.3,D
2,8,6,17,2,2010-02-20,4,5,5,14,1,3.1,3.1,2.4,A
3,13,4,16,3,2010-02-20,1,9,7,17,2,2.9,3.1,2.5,A
2,14,3,13,5,2010-02-20,3,8,4,8,3,3.0,3.2,2.4,H
2,13,5,14,3,2010-02-20,3,8,7,18,0,2.9,3.1,2.4,H
4,11,3,8,3,2010-02-20,2,10,6,12,2,4.0,3.2,2.0,H
0,10,3,8,7,2010-02-20,3,6,5,13,2,3.25,3.2,2.25,H
3,10,3,10,4,2010-02-21,2,17,2,10,6,7.0,4.0,1.5,H
1,28,1,8,8,2010-02-21,2,13,3,8,5,2.9,3.1,2.5,A
2,15,3,10,5,2010-02-21,5,7,2,7,3,2.1,3.25,3.6,A
4,7,3,11,3,2010-02-27,2,13,5,14,3,4.2,3.25,1.91,H
3,8,6,15,1,2010-02-27,2,16,2,6,6,10.0,4.75,1.33,H
4,4,6,16,0,2010-02-27,2,14,3,12,5,8.0,4.0,1.44,H
2,13,4,10,4,2010-02-27,0,9,4,9,6,3.25,3.0,2.38,H
