away-draws,away-goals,away-losses,away-opposition-goals,away-opposition-shots,away-opposition-shots-on-target,away-shots,away-shots-on-target,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-opposition-shots,home-opposition-shots-on-target,home-shots,home-shots-on-target,home-wins,odds-away,odds-draw,odds-home,result
4,14,1,5,118,33,154,60,5,2009-12-13,5,20,1,16,165,51,156,57,4,4.0,3.5,1.91,A
4,11,3,12,141,47,103,35,3,2009-12-18,3,17,1,8,114,37,124,54,6,7.5,4.2,1.44,H
3,6,7,22,140,53,110,36,0,2009-12-19,4,16,1,7,97,40,130,53,5,15.0,6.5,1.18,H
2,11,5,20,161,65,126,41,3,2009-12-19,3,16,1,5,120,30,154,62,6,7.0,4.0,1.5,H
5,19,2,18,161,55,161,54,3,2009-12-19,1,12,5,17,136,55,119,39,4,2.2,3.3,3.25,D
3,8,5,17,170,66,88,29,2,2009-12-19,2,15,5,20,124,53,130,51,3,4.5,3.5,1.8,A
2,13,4,14,171,44,142,44,4,2009-12-19,6,19,0,6,74,22,140,50,4,8.0,4.5,1.4,H
2,17,4,10,93,33,150,47,4,2009-12-19,5,7,4,12,111,40,146,53,1,3.4,3.4,2.1,H
1,8,7,22,138,60,123,38,2,2009-12-20,5,2,3,6,136,33,69,21,2,3.5,3.3,2.1,H
4,22,1,8,91,38,157,65,5,2009-12-20,5,16,2,11,114,48,120,47,3,2.9,3.3,2.4,H
2,13,5,12,103,40,138,42,3,2010-01-15,4,21,0,8,91,40,138,59,6,8.0,4.5,1.4,H
4,20,2,10,96,43,160,64,4,2010-01-16,2,14,4,16,129,50,121,39,4,1.95,3.5,3.75,H
2,8,6,21,159,65,115,38,2,2010-01-16,5,17,2,12,124,49,116,50,3,7.5,4.5,1.4,H
3,7,7,22,141,58,111,37,0,2010-01-16,2,15,5,19,129,56,127,47,3,3.3,3.25,2.2,A
4,11,3,10,147,46,101,33,3,2010-01-16,6,21,0,8,75,25,144,54,4,8.5,4.33,1.4,H
3,10,5,19,169,67,93,35,2,2010-01-16,2,15,4,14,168,46,141,45,4,4.0,3.5,1.85,A
6,17,2,18,156,52,163,53,2,2010-01-16,5,7,4,13,105,37,143,53,1,3.2,3.25,2.25,H
3,17,0,4,117,27,145,62,7,2010-01-17,5,5,2,5,127,30,82,26,3,2.25,3.25,3.2,A
1,8,7,24,147,63,112,36,2,2010-01-17,3,17,1,8,101,34,134,55,6,7.5,4.5,1.4,H
5,10,3,12,109,33,150,55,2,2010-01-22,2,6,6,18,156,62,109,34,2,1.91,3.5,4.0,A
