away-draws,away-goals,away-losses,away-opposition-goals,away-wins,date,home-draws,home-goals,home-losses,home-opposition-goals,home-wins,odds-away,odds-draw,odds-home,result
2,23,1,10,7,2010-01-23,4,10,3,9,3,2.0,3.4,3.4,D
1,16,2,10,7,2010-01-24,3,11,4,10,3,2.3,3.3,2.88,H
2,9,6,17,2,2010-01-24,1,11,6,23,3,2.2,3.3,3.0,D
1,23,0,5,9,2010-01-29,2,14,3,13,5,1.8,3.5,4.5,A
5,8,3,9,2,2010-01-30,1,15,3,12,6,7.0,4.5,1.44,H
2,13,5,15,3,2010-01-30,2,9,6,22,2,3.1,3.4,2.25,A
2,14,3,10,5,2010-01-31,3,23,0,9,7,5.0,3.75,1.67,A
3,14,2,9,5,2010-01-31,3,9,5,15,2,5.25,3.6,1.67,H
2,13,4,18,4,2010-02-02,2,10,6,22,2,2.9,3.25,2.4,H
1,14,3,11,6,2010-02-03,1,26,0,5,9,4.75,3.6,1.73,H
4,8,4,10,2,2010-02-03,3,13,3,13,4,3.25,3.25,2.2,A
2,11,5,15,3,2010-02-04,4,7,5,12,1,2.1,3.3,3.5,A
3,12,3,10,4,2010-02-06,1,27,0,7,9,13.0,5.75,1.22,A
1,12,6,20,3,2010-02-06,1,14,5,15,4,5.25,3.75,1.65,H
2,11,5,20,3,2010-02-06,1,4,8,14,1,3.2,3.3,2.25,H
2,9,5,18,3,2010-02-06,3,7,4,8,3,3.0,3.4,2.3,D
2,11,5,16,3,2010-02-07,3,11,4,10,3,2.8,3.4,2.4,H
4,9,5,13,1,2010-02-07,3,13,3,12,4,3.7,3.4,2.0,H
1,15,4,14,5,2010-02-07,1,14,3,8,6,2.4,3.4,2.8,D
2,15,3,13,5,2010-02-13,0,10,7,20,3,2.7,3.25,2.63,A
2,15,3,12,5,2010-02-14,3,21,1,11,6,3.0,3.25,2.38,D
4,7,3,7,3,2010-02-14,2,10,5,15,3,7.0,4.33,1.44,H
1,6,7,13,2,2010-02-19,3,10,4,10,3,6.0,3.8,1.57,H
2,13,3,10,5,2010-02-20,4,20,1,11,5,5.5,3.75,1.62,A
1,16,4,13,5,2010-02-20,2,15,3,12,5,3.1,3.4,2.25,H
0,8,8,22,2,2010-02-20,2,15,2,7,6,7.5,4.2,1.44,D
3,9,6,14,1,2010-02-20,4,6,4,8,2,3.4,3.4,2.1,H
2,11,5,18,3,2010-02-21,1,26,1,9,8,13.0,5.25,1.25,H
2,11,4,13,4,2010-02-21,3,15,2,11,5,3.75,3.4,2.0,H
2,7,7,16,1,2010-02-24,1,15,5,15,4,3.75,3.4,1.91,H
3,13,3,9,4,2010-02-24,1,8,7,20,2,1.91,3.4,3.75,D
4,17,2,11,4,2010-02-26,3,8,5,18,2,2.3,3.4,3.0,D
4,13,2,8,4,2010-02-27,0,15,5,14,5,2.8,3.25,2.5,H
4,8,4,8,2,2010-02-27,0,7,8,16,2,3.75,3.4,2.0,H
2,18,2,12,6,2010-02-27,2,11,5,18,3,3.4,3.3,2.15,D
3,12,2,7,5,2010-02-28,2,7,7,15,1,2.4,3.3,2.9,D
1,25,1,8,8,2010-02-28,2,9,6,18,2,1.4,4.5,8.0,A
3,16,2,12,5,2010-02-28,2,12,3,10,5,2.0,3.4,3.75,D
0,8,7,15,3,2010-03-06,0,15,4,11,6,3.4,3.4,2.1,H
1,26,1,9,8,2010-03-06,3,7,6,14,1,1.5,4.0,6.5,A
4,11,2,7,4,2010-03-07,4,6,5,19,1,2.9,3.4,2.35,D
3,13,3,9,4,2010-03-07,3,10,4,14,3,2.5,3.3,2.75,H
0,8,7,18,3,2010-03-10,2,7,7,16,1,3.0,3.2,2.4,H
3,13,3,9,4,2010-03-14,1,25,1,8,8,8.0,4.5,1.4,H
2,9,7,20,1,2010-03-14,4,16,2,13,4,10.0,5.0,1.3,H
1,11,7,17,2,2010-03-14,5,13,2,10,3,6.5,3.8,1.53,H
0,9,7,21,3,2010-03-14,3,18,2,13,5,4.2,3.5,1.85,H
4,5,5,18,1,2010-03-14,2,13,3,11,5,3.3,3.25,2.2,H
1,10,5,13,4,2010-03-14,5,12,1,7,4,2.88,3.2,2.5,D
0,18,3,8,7,2010-03-14,3,8,5,9,2,2.8,3.25,2.5,H
2,15,2,9,6,2010-03-21,0,19,3,9,7,3.1,3.4,2.25,H
3,19,2,14,5,2010-03-21,2,11,4,9,4,3.2,3.4,2.2,D
3,16,2,12,5,2010-03-21,3,5,6,20,1,1.83,3.5,4.33,A
1,25,1,8,8,2010-03-21,0,10,7,23,3,1.57,3.8,6.0,A
