,round_epochs,val_loss,val_acc,loss,acc,first_neuron,normalize,nr_hidden_layers,hidden_layers,optimizer,batch_size,epochs
0,200,0.9846707757261676,0.5300658991348606,0.9810934262087116,0.5377824858757062,20,False,0,10,adam,256,200
1,200,0.9870716480682473,0.5313014837819623,0.9817082962747348,0.5375176553672316,15,True,0,15,adam,512,200
2,100,0.9772955285265575,0.531301482554519,0.9766131168031423,0.5360169491525424,20,True,1,10,rmsprop,64,100
3,200,1.0283485808128974,0.5288303142913681,1.0248815390349781,0.5359286723163842,10,True,1,10,sgd,256,200
4,100,1.03703914698109,0.5284184526768705,1.032335521137647,0.5368997175141242,10,True,2,20,adam,512,100
5,50,1.0404858288694252,0.5294481061239416,1.0385866932949777,0.5357521186440678,20,True,1,20,adam,256,50
6,50,1.097488920024828,0.5129736398747176,1.094772127388561,0.521627824858757,10,True,2,10,sgd,512,50
7,200,0.9906808927385182,0.5304777607493582,0.9874550255678468,0.5369879943502824,15,False,2,15,adam,512,200
8,200,1.0910964025893362,0.5290362452950077,1.086192642901577,0.536281779661017,15,True,2,10,sgd,512,200
9,50,1.0266933947850687,0.52574134972775,1.022659767145491,0.533986581920904,20,False,0,20,rmsprop,512,50
10,50,1.0480290062148645,0.5296540373239721,1.0453048728953647,0.537694209039548,15,True,1,10,adam,512,50
11,50,1.0389836262635384,0.5286243832877283,1.03439173860065,0.5352224576271186,10,True,1,15,rmsprop,512,50
12,100,0.9773753390477163,0.5308896210382169,0.974900218389802,0.536281779661017,10,True,0,10,adam,64,100
13,50,0.991783239499741,0.528212520543983,0.988870009527368,0.5357521186440678,20,False,0,10,adam,64,50
14,200,0.980891190211502,0.5306836901327727,0.977572592975056,0.5370762711864406,20,False,0,20,rmsprop,64,200
15,50,1.013468446998659,0.5292421761022564,1.0109983211183278,0.535399011299435,20,True,0,20,adam,256,50
16,50,1.0545290539645678,0.5284184526768705,1.05081932692878,0.536281779661017,15,True,2,10,rmsprop,512,50
17,100,1.107210824674201,0.5214168054268035,1.1022285000752594,0.5290430790960452,15,False,2,10,sgd,512,100
18,200,1.0656767957882198,0.5298599683276118,1.0613708647630982,0.5363700564971752,15,False,1,20,sgd,256,200
19,50,1.0426042926370411,0.5144151555254589,1.0363300799649988,0.5226871468926554,10,False,0,20,sgd,512,50
20,100,0.9941975122817855,0.5296540371275812,0.9907233411982909,0.5374293785310734,20,True,0,20,rmsprop,256,100
21,50,1.0482896534968444,0.5292421745802268,1.0484736693107475,0.5359286723163842,15,True,1,10,sgd,64,50
22,100,1.0159019286785722,0.5294481053874756,1.0125508018806155,0.5354872881355932,10,False,1,10,sgd,64,100
23,100,0.9984698625530011,0.5302718301385003,0.9946705722539438,0.536723163841808,10,True,0,15,adam,512,100
24,50,0.9891710998198935,0.5298599669037777,0.9865453542962586,0.5364583333333334,10,False,1,15,rmsprop,64,50
25,200,1.1029256605827042,0.5298599681312209,1.0993177446268372,0.5361935028248588,20,True,1,20,sgd,512,200
26,100,1.0022035927513286,0.5306836915566069,0.9983337390220771,0.5366348870056498,20,False,1,15,rmsprop,512,100
27,100,1.0021659387198862,0.5298599670019731,1.0010719804440515,0.5360169491525424,15,True,0,10,sgd,64,100
28,50,1.042978975486127,0.5187397036069308,1.0383350135242873,0.5277189265536724,20,False,0,20,sgd,64,50
29,100,1.0399024286223009,0.5232701824956514,1.0353612229648956,0.5333686440677966,15,True,0,10,sgd,256,100
30,200,1.1288848103958458,0.5313014839783532,1.1243194873723608,0.5361052259887006,20,False,2,20,sgd,256,200
31,50,1.0599697072187797,0.528830314094977,1.0556692026429257,0.5351341807909604,20,True,1,15,rmsprop,512,50
32,50,1.0133927455647578,0.5290362450986168,1.0098504865236875,0.5361052259887006,15,True,0,10,rmsprop,256,50
33,50,0.9919089184954296,0.5302718285182751,0.9887025157610575,0.5357521186440678,20,False,2,15,adam,64,50
34,200,0.9844432473182678,0.5298599685240027,0.9806128494483602,0.5374293785310734,20,False,0,15,adam,256,200
35,200,1.0008822679519653,0.5298599670019731,0.997918628703403,0.5363700564971752,15,False,2,20,sgd,64,200
36,100,0.9777367880945347,0.530477759325524,0.9761977391054402,0.5352224576271186,10,True,2,10,adam,64,100
37,200,1.0626148808336338,0.52697693722252,1.0579115670953094,0.5347810734463276,20,False,1,10,sgd,256,200
38,200,1.0621473641921897,0.518739702084901,1.0571137471387615,0.5286899717514124,20,False,0,20,sgd,512,200
39,50,1.110682301701981,0.5119439870168193,1.1069448687935952,0.5201271186440678,15,True,1,15,sgd,512,50
40,50,1.0463258666300892,0.5294481061239416,1.044743152661512,0.5368997175141242,20,True,1,20,rmsprop,256,50
41,50,1.023184716799703,0.5284184528732614,1.0188330640900607,0.5361052259887006,15,True,0,20,adam,512,50
42,200,1.061579892623562,0.5304777603565762,1.056026592092999,0.5368114406779662,15,True,1,10,sgd,512,200
43,100,0.9951477306089448,0.5310955533674954,0.9914539220642908,0.5357521186440678,10,False,1,20,adam,256,100
44,100,1.0113753052873313,0.5290362450986168,1.008059766332982,0.5366348870056498,20,False,1,20,adam,512,100
45,200,1.1536547984479877,0.5236820439137579,1.1495810740411618,0.5325741525423728,15,False,2,20,sgd,512,200
46,100,1.0281212750141075,0.530065897956515,1.0282336944914134,0.5360169491525424,20,True,1,20,sgd,64,100
47,50,1.0201124424203813,0.5282125196111261,1.015735454141757,0.5347810734463276,15,False,2,15,rmsprop,256,50
48,200,1.0998428217465246,0.530683691360216,1.0952043398625433,0.5366348870056498,20,True,2,15,sgd,256,200
